id,name_short,name,type,sex,birth,position,education,sucject,party,religion,kids,twitter,instagram,facebook,youtube
vereinfreunde,vereinderfreunde,Verein der Freunde des Goldberg-Gymnasiums Sindelfingen,1,,,,,,,,,,,,
selwyn,selwyncollegeassociation,Selwyn College Association Cambridge,1,,,,,,,,,,,,
scheffelbund,literarischegesellschaft,Literarische Gesellschaft Scheffelbund,1,,,,,,,,,,,,
dlrg,dlrg,DLRG,1,,,,,,,,,,,,
dag,deutschatlantischegesellschaft,Deutsch-Atlantische Gesellschaft,1,,,,,,,,,,,,
dig,deutschisaelischegesellschaft,Deutsch-Israelische Gesellschaft,1,,,,,,,,,,,,
help,helpev,help e.V. ,1,,,,,,,,,,,,
alumnihd,alumnivereinheidelberg,Alumniverein der Ruprecht-Karls-Universität Heidelberg,1,,,,,,,,,,,,
freunderegensburg,vereinderfreunderegensburg,Verein der Freunde der Universität Regensburg,1,,,,,,,,,,,,
rechtaus,rechtsausschuss,Rechtsausschuss,1,,,,,,,,,,,,
parlbeirat,parlamentarischerbeirat,Parlamentarischer Beirat für nachhaltige Entwicklung,1,,,,,,,,,,,,
paramount,paramountNY,"Paramount Group Inc., New York",1,,,,,,,,,,,,
flug,zweckverbandflugfeld,Zweckverband Flugfeld Böblingen/Sindelfingen,1,,,,,,,,,,,,
heussstiftung,theodorheussstiftung,"Theodor-Heuss-Stiftung, Stuttgart",1,,,,,,,,,,,,
hauptaus,hauptausschuss,Hauptausschuss,1,,,,,,,,,,,,
ufreiburg,unifreiburg,Universität Freiburg im Breigau,1,,,,,,,,,,,,
uzuerich,unizuerich,Universität Zürich,1,,,,,,,,,,,,
beratung,beratungkarin,Beratung und Kommunikation für Karin Rehbock-Zureich,1,,,,,,,,,,,,
spd,parteispd,SPD,1,,,,,,,,,,,,
verdi,verdii,ver.di,1,,,,,,,,,,,,
vergessen,gegenvergessen,Gegen Vergessen Für Demokratie e.V.,1,,,,,,,,,,,,
eurosolare,eurosolarevereinigung,EUROSOLARE Europäische Vereinigung für Erneuerbare Energien e.V.,1,,,,,,,,,,,,
klar,klarleben,KLAR - Kein Leben mit atomaren Risiken,1,,,,,,,,,,,,
hospiz,hospizdienst,Hospizdienst e.V.,1,,,,,,,,,,,,
gesellreaktor,gesellschaftreaktorsicherheit,"Geselllschaft für Anlagen- und Reaktorsicherheit (GRS) mbH, Köln",1,,,,,,,,,,,,
dbu,umweltstiftung,"Deutsche Bundesstiftung Umwelt (DBU), Osnabrück",1,,,,,,,,,,,,
wirtforum,wirtschaftsforum,"Wirtschaftsforum der SPD e.V., Berlin",1,,,,,,,,,,,,
arbeiterwohl,arbeiterwohlfahrt,Arbeiterwohlfahrt,1,,,,,,,,,,,,
arbeitergemeinfrau,arbeitsgemeinschaftfrau,Arbeitsgemeinschaft sozialdemokratischer Frauen,1,,,,,,,,,,,,
wirtschaftaus,ausschusswirtschaft,Ausschuss für Wirtschaft und Technologie,1,,,,,,,,,,,,
verkehraus,verkehrsausschuss,"Ausschuss für Verkehr, Bau und Stadtentwicklung",1,,,,,,,,,,,,
evangelischfh,evfachhochschulereutlingen,Evangelische Fachhochsule für Sozialwesen Reutlingen,1,,,,,,,,,,,,
ajc,americanjewishcommittee,American Jewish Committee,1,,,,,,,,,,,,
dtf,deutschtürkischesforum,Kuratorium des Deutsch-Türkischen Forum Stuttgart e.V.,1,,,,,,,,,,,,
ths,theodorheussstiftung,Kuratorium der Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
bvmw,bundesverbandwirtschaft,Bundesverband Mittelständische Wirtschaft,1,,,,,,,,,,,,
ullstein,ullsteinbuchverlage,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
celebrity,celebrityspeakers,Celebrity Speakers Limited,1,,,,,,,,,,,,
heimeier,drheimeier,Dr. Heimeier & Partner Management- und Personalberatung GmbH,1,,,,,,,,,,,,
young,ernstyoung,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,1,,,,,,,,,,,,
immoebs,immoebsev,IMMOEBS e.V.,1,,,,,,,,,,,,
schweizinsti,schweizerischesinstitut,Schweizerisches Institut für Auslandsforschung,1,,,,,,,,,,,,
tapestry,tapestrynetworks,Tapestry Networks,1,,,,,,,,,,,,
speakerlondon,thelondonspeakerbureau,The London Speaker Bureau,1,,,,,,,,,,,,
smartenergy,smartenergyforeurope,Agora Verkehrswende Smart Energy for Europe Plattform,1,,,,,,,,,,,,
destiftung,deutschlandstiftung,Deutschlandstiftung Integration gemeinnützige GmbH,1,,,,,,,,,,,,
start,startstiftung,Start-Stiftung gemeinnützige GmbH,1,,,,,,,,,,,,
ifm,institutmobilität,Institut für Mobilität der Universität St. Gallen,1,,,,,,,,,,,,
iff,institutfreedom,Institute for Freedom of Faith & Security in Europe,1,,,,,,,,,,,,
ai,atlantischeinitiative,Atlantische Initiative e.V.,1,,,,,,,,,,,,
as,avicennastudienwerk,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
dpz,progressiveszentrum,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
fc,fcplayfair,FC Play Fair! Verein für Integrität und Nachhaltigkeit im Fußball e.V.,1,,,,,,,,,,,,
ikw,ichkannwas,Ich kann was!-Initiative für Kinder und Jugendliche e.V.,1,,,,,,,,,,,,
stiftunggedenken,stiftunggedenkenfrieden,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
stiftungbild,stiftungbildung,Stiftung: Bildung Egitim!,1,,,,,,,,,,,,
tuerkdeu,tuerkischdeutscheplattform,Türkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,,,,,,,,,,,,
wirtwest,wirtschaftwestfalen,Wirtschaftliche Gesellschaft für Westfalen und Lippe e.V.,1,,,,,,,,,,,,
zdf,zdffernsehrat,ZDF Fernsehrat,1,,,,,,,,,,,,
af,aktionfahrrad,AKTIONfahrRAD,1,,,,,,,,,,,,
haushaltkontrolle,haushaltskontrollausschuss,Haushalt-Kontrollausschuss,1,,,,,,,,,,,,
verbandvers,verbandsversammlung,Verbandsversammlung Regionalverband Nordschwarzwald,1,,,,,,,,,,,,
reinhold,reinholdmaierstiftung,Reinhold-Maier-Stiftung,1,,,,,,,,,,,,
wolfgang,wolfgangdoeringstiftung,Wolfgang-Döring-Stiftung,1,,,,,,,,,,,,
dhbw,dualehochschulebw,Duale Hochschule Baden-Württemberg,1,,,,,,,,,,,,
arbeitsaus,ausschussarbeitsoziales,Ausschuss für Arbeit und Soziales,1,,,,,,,,,,,,
tourisaus,ausschusstourismus,Ausschuss für Tourismus,1,,,,,,,,,,,,
gesundheitsaus,ausschussgesundheit,Ausschuss für Gesundheit,1,,,,,,,,,,,,
iks,konferenzstabilitaet,"Interparlamentarische Konferenz über Stabilität, wirtschaftspolitische Koordinierung und Steuerung in der EU",1,,,,,,,,,,,,
cnc,communicationsnetwork,Communications & Network Consulting AG,1,,,,,,,,,,,,
leuco,leucoag,Leuco AG,1,,,,,,,,,,,,
sparkasse,kreissparkasse,Kreisparkkasse Freudenstadt,1,,,,,,,,,,,,
bank,lbank,Landeskreditbank Baden-Württemberg,1,,,,,,,,,,,,
bb,badenbaden,Baden-Badener Unternehmer Gespräche e.V.,1,,,,,,,,,,,,
aiesec,deutscheskomitee,Deutsches Komitee der AIESEC e.V.,1,,,,,,,,,,,,
idi,initiativeinfrastruktur,Initiative Deutsche Infrastruktur e.V.,1,,,,,,,,,,,,
wirtschaftsclub,wirtschaftsclubde,Wirtschaftspolitischer Club Deutschland e.V.,1,,,,,,,,,,,,
twf,twfmetall,TWF Metallbearbeitungs Holding UG,1,,,,,,,,,,,,
ltbw,landtagbw,Landtag Baden-Württemberg,1,,,,,,,,,,,,
ukarlsruhe,unikarlsruhe,Karlsruher Institut für Technologie,1,,,,,,,,,,,,
landesanstaltumweltschutz,Ifu,Zivildienst an der Landesanstalt für Umweltschutz Baden-Württemberg,1,,,,,,,,,,,,
grueneju,gruenejugend,Grünen Jugend,1,,,,,,,,,,,,
verteidigungaus,verteidigungsausschuss,Verteidigungsausschuss ,1,,,,,,,,,,,,
rechnungsaus,rechnungsprüfungsausschuss,Stellvertretender Vorsitzender des Rechnungsprüfungsausschusses,1,,,,,,,,,,,,
vertrauen,vertrauensgremium,Mitglied im Vertrauensgremium,1,,,,,,,,,,,,
pvnato,parlamentarischeversammlungnato,Parlamentarische Versammlung der NATO,1,,,,,,,,,,,,
berger,rolandbergergmbh,Roland Berger GmbH,1,,,,,,,,,,,,
hector,hectorschool,Hector School of Engineering and Management,1,,,,,,,,,,,,
ostfriese,ostfriesischewinzer,Mitglied Aufsichtsrat Erste Ostfriesische Winzergenossenschaft eG i.G.,1,,,,,,,,,,,,
immobilie,bundesanstaltimmo,Mitglied Verwaltungsrat Bundesanstalt für Immobilienaufgaben,1,,,,,,,,,,,,
europauniondeutschland,europauniondeutschlandeV,Mitglied Europa-Union Deutschland e.V.,1,,,,,,,,,,,,
kuragenera,kuratoriumgenerationen,Mitglied im Kuratorium Mehrgenerationenhaus der Stadt Wörth am Rhein,1,,,,,,,,,,,,
zweckabfall,zweckverbandabfall,Mitglied im Zweckverband Abfallverwertung Südwestpfalz,1,,,,,,,,,,,,
guericke,agindustrielleforschung,Mitglied des Senats Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
georgischesforum,deutschgeorgischesforum,"Vorstand Deutsch-Georgisches Forum für Politik, Wissenschaft und Kultur e.V.",1,,,,,,,,,,,,
haviva,givadhaviva,Beirat Freundeskreis Givat Haviva Deutschland e.V.,1,,,,,,,,,,,,
zuse,industrieforschung,Senatsmitglied Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,,,,,,,,,,,,
juli,jungeliberale,Junge Liberale,1,,,,,,,,,,,,
ukonstanz,unikonstanz,Universität Konstanz,1,,,,,,,,,,,,
untersuchung,nsuuntersuchung,Berater für NSU-Untersuchungsausschuss Landtag Baden-Württemberg,1,,,,,,,,,,,,
gemeindeberg,gemeinderatberg,Gemeinderat Gemeinde Berg,1,,,,,,,,,,,,
gremiumzoll,gremiumzollfahndung,Mitglied Gremium Zollfahndungsgesetz,1,,,,,,,,,,,,
lhp,lhp gesellschaft,LHP Dienstleistungs- und Bildungssellschaft GmbH,1,,,,,,,,,,,,
musik,bundesmusikverband,Präsident Bundesmusikverband Chor und Orchester e.V.,1,,,,,,,,,,,,
zukunft,zukunftsforumsicherheit,Beirat Zukunftsforum öffentliche Sicherheit e.V.,1,,,,,,,,,,,,
amnesty,amnestyinternational,Mitglied Amnesty International,1,,,,,,,,,,,,
blutreitergruppe,blutreiterberg,Mitglied Blutreitergruppe Berg,1,,,,,,,,,,,,
chor,chorpeterpaul,Mitglied Kirchenchor St. Peter und Paul ,1,,,,,,,,,,,,
ausbauwo,ausschussbauwohnen,"Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
umaus,umweltausschuss,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
stadtbahn,prostadtbahn,Pro RegioStadtbahn e.V,1,,,,,,,,,,,,
verbwohn,wohneigentum,Verband Wohneigentum e.V,1,,,,,,,,,,,,
kuaus,kulturausschuss,Ausschuss Kultur und Medien,1,,,,,,,,,,,,
veraus,verkehrsausschuss,Ausschuss für Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
deneff,initiativeenergie,Deutsche Unternehmensinitiative Energieeffizienz e.V. (DENEFF),1,,,,,,,,,,,,
baukultur,stiftungbaukultur,Bundesstiftung Baukultur,1,,,,,,,,,,,,
mithermann,mitarbeithermann,Mitarbeiter des Bundestagsabgeordneten Winne Hermann,0,,,,,,,,,,,,
mitverwaltung,mitarbeitverwaltung,Mitarbeiter in der Verwaltung der Fakultät für Wirtschaftswissenschaften der Uni Tübingen,0,,,,,,,,,,,,
koaaus,koalition,Koalitionsausschuss,1,,,,,,,,,,,,
gsess,economicschool,Graduate School of Economic and Social Sciences,1,,,,,,,,,,,,
hirschfeld,stiftunghirschfeld,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
aids,stiftungaids,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
ecoclub,economyclub,Young Economy Club e.V.,1,,,,,,,,,,,,
privaths,privatehochschule,Verband der privaten Hochschulen e.V.,1,,,,,,,,,,,,
lisl,liberaleschwules,Liberale Schwule und Lesben (LiSL) Deutschland e.V.,1,,,,,,,,,,,,
dsw,studentenwerk,Deutsches Studentenwerk e.V. (DSW),1,,,,,,,,,,,,
gzs,gesellschaftstudium,"Gesellschaft zum Studium strukturpolitischer Fragen e.v., Berlin",1,,,,,,,,,,,,
bildungaus,bildungausschuss,Bildungausschuss,1,,,,,,,,,,,,
